2091-09-05 00:00:00 | USER_10001 | AD_IMPRESSION | CMP003 | channel=Facebook
2215-08-23 00:00:00 | USER_10010 | PRODUCT_VIEW | none | product_id=PROD029
2198-05-14 00:00:00 | USER_10010 | CART_ABANDON | none | cart_value=131.43

2148-04-23 00:00:00 | USER_10011 | AD_IMPRESSION | CMP006 | channel=Email
2138-02-17 00:00:00 | USER_10011 | AD_CLICK | CMP006 | destination=website
2174-12-07 00:00:00 | USER_10011 | AD_CLICK | CMP006 | destination=website
2091-11-16 00:00:00 | USER_10011 | PRODUCT_VIEW | none | product_id=PROD040
2108-11-28 00:00:00 | USER_10011 | PRODUCT_VIEW | none | product_id=PROD025
2228-10-07 00:00:00 | USER_10011 | EMAIL_CLICK | CMP001 | destination=website
2113-10-21 00:00:00 | USER_10011 | PRODUCT_VIEW | none | product_id=PROD016
2147-12-18 00:00:00 | USER_10011 | CART_ABANDON | none | cart_value=120.23

2260-02-20 00:00:00 | USER_10012 | AD_IMPRESSION | CMP002 | channel=Google Ads
2123-11-02 00:00:00 | USER_10012 | AD_IMPRESSION | CMP009 | channel=Twitter
2168-07-31 00:00:00 | USER_10012 | AD_CLICK | CMP002 | destination=website

2123-06-02 00:00:00 | USER_10013 | AD_IMPRESSION | CMP010 | channel=Google Ads
2177-12-04 00:00:00 | USER_10013 | AD_IMPRESSION | CMP007 | channel=YouTube
2215-01-18 00:00:00 | USER_10013 | EMAIL_OPEN | CMP006 | subject=newsletter
2259-07-07 00:00:00 | USER_10013 | ADD_TO_CART | none | product_id=PROD036,quantity=1
2149-09-07 00:00:00 | USER_10013 | SITE_VISIT | none | pages_viewed=8
2249-03-17 00:00:00 | USER_10013 | EMAIL_CLICK | CMP006 | destination=website
2041-09-26 00:00:00 | USER_10013 | CART_ABANDON | none | cart_value=93.88

2072-12-23 00:00:00 | USER_10014 | AD_IMPRESSION | CMP006 | channel=Email
2080-09-15 00:00:00 | USER_10014 | AD_CLICK | CMP006 | destination=website
2159-06-25 00:00:00 | USER_10014 | SITE_VISIT | none | pages_viewed=7
2186-05-12 00:00:00 | USER_10014 | CART_ABANDON | none | cart_value=140.76

2055-01-23 00:00:00 | USER_10015 | AD_IMPRESSION | CMP009 | channel=Twitter
2103-03-17 00:00:00 | USER_10015 | AD_CLICK | CMP009 | destination=website
2216-01-27 00:00:00 | USER_10015 | SITE_VISIT | none | pages_viewed=2

